Online Examination.
Martrimoniall.
Online College Management System.
Courier Management System.
Inventory Management System.
Article Search Engine
Event management System
Car Rental System
Bus Reservation System
Cinema Booking System
Hotel Management System
Online Shopping 
Video Streaming Like Youtube…
School Management System
Airline Reservation System
Online Property Dealing
Social Networking like facebook
Online Newspaper
Online Banking System
Hostel Management System
Online job portal(jobseeker)
Online Discussion Forum
Online Book Store
Student Monitoring System
Online CV Builder
Complaint management System
Online voting system
Library management System
Student Result System
Student Information System
Student Supervision System
School or college time table generator
Meeting Management System
Traffic accident Record management System
Student record management system
International Student management system
Digital Notice board
Share Market Exchange Project
Chat Application
Classfied Addss System
Hospital Management System.
INGO/NGO Project Management System
Link Exchange Program
Online Directory
Online Personal diary.
Online Tourist Management System.
Modelling Website
